pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
IDFM:StopPlaceEntrance:50171202:IDFM:monomodalStopPlace:47948,IDFM:StopPlaceEntrance:50171202,IDFM:monomodalStopPlace:47948,1,1,75.56,96,,,,,
IDFM:StopPlaceEntrance:50171201:IDFM:monomodalStopPlace:43088,IDFM:StopPlaceEntrance:50171201,IDFM:monomodalStopPlace:43088,1,1,177.58,226,,,,,
IDFM:StopPlaceEntrance:50171200:IDFM:monomodalStopPlace:47969,IDFM:StopPlaceEntrance:50171200,IDFM:monomodalStopPlace:47969,1,1,20.13,25,,,,,
IDFM:StopPlaceEntrance:50171199:IDFM:monomodalStopPlace:44161,IDFM:StopPlaceEntrance:50171199,IDFM:monomodalStopPlace:44161,1,1,78.49,99,,,,,
IDFM:StopPlaceEntrance:50171198:IDFM:monomodalStopPlace:58798,IDFM:StopPlaceEntrance:50171198,IDFM:monomodalStopPlace:58798,1,1,89.77,114,,,,,
IDFM:StopPlaceEntrance:50171197:IDFM:monomodalStopPlace:47588,IDFM:StopPlaceEntrance:50171197,IDFM:monomodalStopPlace:47588,1,1,86.53,110,,,,,
IDFM:StopPlaceEntrance:50171196:IDFM:monomodalStopPlace:47874,IDFM:StopPlaceEntrance:50171196,IDFM:monomodalStopPlace:47874,1,1,82.54,105,,,,,
IDFM:StopPlaceEntrance:50171195:IDFM:monomodalStopPlace:422065,IDFM:StopPlaceEntrance:50171195,IDFM:monomodalStopPlace:422065,1,1,53.19,67,,,,,
IDFM:StopPlaceEntrance:50171194:IDFM:monomodalStopPlace:43235,IDFM:StopPlaceEntrance:50171194,IDFM:monomodalStopPlace:43235,1,1,42.8,54,,,,,
IDFM:StopPlaceEntrance:50171193:IDFM:monomodalStopPlace:43235,IDFM:StopPlaceEntrance:50171193,IDFM:monomodalStopPlace:43235,1,1,25.62,32,,,,,
IDFM:StopPlaceEntrance:50171192:IDFM:monomodalStopPlace:57674,IDFM:StopPlaceEntrance:50171192,IDFM:monomodalStopPlace:57674,1,1,70.69,90,,,,,
IDFM:StopPlaceEntrance:50171190:IDFM:monomodalStopPlace:47684,IDFM:StopPlaceEntrance:50171190,IDFM:monomodalStopPlace:47684,1,1,134.33,171,,,,,
IDFM:StopPlaceEntrance:50171189:IDFM:monomodalStopPlace:47684,IDFM:StopPlaceEntrance:50171189,IDFM:monomodalStopPlace:47684,1,1,84.04,107,,,,,
IDFM:StopPlaceEntrance:50171188:IDFM:monomodalStopPlace:47684,IDFM:StopPlaceEntrance:50171188,IDFM:monomodalStopPlace:47684,1,1,71.75,91,,,,,
IDFM:StopPlaceEntrance:50171187:IDFM:monomodalStopPlace:44161,IDFM:StopPlaceEntrance:50171187,IDFM:monomodalStopPlace:44161,1,1,76.76,97,,,,,
IDFM:StopPlaceEntrance:50171186:IDFM:471422,IDFM:StopPlaceEntrance:50171186,IDFM:471422,1,1,26.36,33,,,,,
IDFM:StopPlaceEntrance:50171186:IDFM:472945,IDFM:StopPlaceEntrance:50171186,IDFM:472945,1,1,91.51,116,,,,,
IDFM:StopPlaceEntrance:50171186:IDFM:monomodalStopPlace:479059,IDFM:StopPlaceEntrance:50171186,IDFM:monomodalStopPlace:479059,1,1,32.81,41,,,,,
IDFM:StopPlaceEntrance:50171179:IDFM:monomodalStopPlace:58718,IDFM:StopPlaceEntrance:50171179,IDFM:monomodalStopPlace:58718,1,1,146.82,187,,,,,
IDFM:StopPlaceEntrance:50171178:IDFM:monomodalStopPlace:46482,IDFM:StopPlaceEntrance:50171178,IDFM:monomodalStopPlace:46482,1,1,112.22,142,,,,,
IDFM:StopPlaceEntrance:50171170:IDFM:monomodalStopPlace:45419,IDFM:StopPlaceEntrance:50171170,IDFM:monomodalStopPlace:45419,1,1,79.97,101,,,,,
IDFM:StopPlaceEntrance:50171168:IDFM:monomodalStopPlace:43238,IDFM:StopPlaceEntrance:50171168,IDFM:monomodalStopPlace:43238,1,1,35.19,44,,,,,
IDFM:StopPlaceEntrance:50171166:IDFM:monomodalStopPlace:46387,IDFM:StopPlaceEntrance:50171166,IDFM:monomodalStopPlace:46387,1,1,32.34,41,,,,,
IDFM:StopPlaceEntrance:50171165:IDFM:monomodalStopPlace:43111,IDFM:StopPlaceEntrance:50171165,IDFM:monomodalStopPlace:43111,1,1,97.73,124,,,,,
IDFM:StopPlaceEntrance:50171164:IDFM:monomodalStopPlace:43111,IDFM:StopPlaceEntrance:50171164,IDFM:monomodalStopPlace:43111,1,1,114.67,146,,,,,
IDFM:StopPlaceEntrance:50171163:IDFM:monomodalStopPlace:47903,IDFM:StopPlaceEntrance:50171163,IDFM:monomodalStopPlace:47903,1,1,78.85,100,,,,,
IDFM:StopPlaceEntrance:50171162:IDFM:monomodalStopPlace:47903,IDFM:StopPlaceEntrance:50171162,IDFM:monomodalStopPlace:47903,1,1,22.77,29,,,,,
IDFM:StopPlaceEntrance:50171161:IDFM:monomodalStopPlace:47921,IDFM:StopPlaceEntrance:50171161,IDFM:monomodalStopPlace:47921,1,1,43.88,55,,,,,
IDFM:StopPlaceEntrance:50171159:IDFM:monomodalStopPlace:43109,IDFM:StopPlaceEntrance:50171159,IDFM:monomodalStopPlace:43109,1,1,102.47,130,,,,,
IDFM:StopPlaceEntrance:50171158:IDFM:monomodalStopPlace:43109,IDFM:StopPlaceEntrance:50171158,IDFM:monomodalStopPlace:43109,1,1,117.6,149,,,,,
IDFM:StopPlaceEntrance:50171157:IDFM:monomodalStopPlace:43127,IDFM:StopPlaceEntrance:50171157,IDFM:monomodalStopPlace:43127,1,1,36.35,46,,,,,
IDFM:StopPlaceEntrance:50171156:IDFM:monomodalStopPlace:45745,IDFM:StopPlaceEntrance:50171156,IDFM:monomodalStopPlace:45745,1,1,18.16,23,,,,,
IDFM:StopPlaceEntrance:50171155:IDFM:monomodalStopPlace:45745,IDFM:StopPlaceEntrance:50171155,IDFM:monomodalStopPlace:45745,1,1,32.06,40,,,,,
